is_tv_subscriber,is_movie_package_subscriber,subscription_age,bill_avg,reamining_contract,service_failure_count,download_avg,upload_avg,download_over_limit,churn
1,0,11.95,25,0.14,0,8.4,2.3,0,0
0,0,8.22,0,0.0,0,0.0,0.0,0,1
1,0,8.91,16,0.0,0,13.7,0.9,0,1
0,0,6.87,21,0.0,1,0.0,0.0,0,1
0,0,6.39,0,0.0,0,0.0,0.0,0,1
1,1,11.94,32,1.38,0,69.4,4.0,0,0
0,0,8.96,18,0.0,0,21.3,2.0,0,1
0,0,5.48,14,0.0,1,0.0,0.0,0,1
0,0,8.54,0,0.0,0,0.0,0.0,0,1
0,0,8.33,0,0.0,0,0.0,0.0,0,1
1,1,8.44,17,0.0,0,9.9,1.1,0,1
1,1,11.93,10,1.28,0,10.6,0.6,0,0
0,0,6.64,10,0.0,0,0.0,0.0,0,1
0,0,5.53,14,0.0,0,0.0,0.0,0,1
0,0,6.97,23,0.28,0,0.0,0.0,0,1
1,1,11.93,18,1.8,0,1.0,0.0,0,0
1,0,11.93,22,0.01,1,10.6,2.4,0,0
0,0,6.45,40,0.0,0,0.0,0.0,0,1
0,0,6.81,14,0.0,0,0.0,0.0,0,1
1,1,11.93,65,0.21,0,116.8,12.1,0,0
0,0,5.95,0,0.0,0,0.0,0.0,0,1
1,0,11.93,24,0.0,0,9.3,0.7,0,0
0,0,8.53,0,0.0,0,0.0,0.0,0,1
0,0,11.93,41,0.0,0,24.1,3.2,0,0
0,0,8.57,20,0.0,0,0.0,0.0,0,1
0,0,11.93,21,0.0,0,27.8,2.1,0,0
0,0,5.21,14,0.0,0,0.0,0.0,0,1
0,0,5.93,0,0.0,0,0.0,0.0,0,1
0,0,7.02,13,0.0,0,0.0,0.0,0,1
1,0,10.93,63,0.0,0,38.1,7.9,0,1
0,0,6.03,9,0.0,0,0.0,0.0,0,1
0,0,9.22,80,0.0,0,235.0,6.0,0,1
0,0,5.62,0,0.0,0,0.0,0.0,0,1
0,0,6.6,54,0.0,0,0.0,0.0,0,1
0,0,11.12,33,0.0,0,11.4,1.6,0,1
0,0,11.88,129,0.0,0,125.8,9.2,0,1
0,0,5.44,18,0.0,0,0.0,0.0,0,1
0,0,5.62,0,0.0,0,0.0,0.0,0,1
1,0,11.93,45,1.83,0,70.3,9.7,0,0
0,0,5.62,0,0.0,0,0.0,0.0,0,1
1,0,6.35,21,0.0,0,0.0,0.0,0,1
0,0,6.64,14,0.0,2,0.0,0.0,0,1
1,0,5.3,79,0.0,2,0.0,0.0,0,1
0,0,5.62,0,0.0,0,0.0,0.0,0,1
1,1,11.93,16,1.82,0,19.4,1.9,0,0
0,0,5.53,13,0.0,0,0.0,0.0,0,1
1,0,10.26,17,0.0,0,0.0,0.0,0,1
0,0,5.7,0,0.0,0,0.0,0.0,0,1
0,0,7.79,10,0.0,0,0.0,0.0,0,1
1,1,8.13,22,0.0,0,10.2,7.4,0,1
0,0,10.8,0,0.0,0,0.0,0.0,0,1
1,1,11.93,23,1.85,0,17.5,5.9,0,0
0,0,11.93,24,0.0,0,27.8,2.1,0,0
1,0,11.93,33,0.0,0,40.9,2.0,0,0
1,1,11.93,24,0.0,0,27.8,2.1,0,0
0,0,5.7,10,0.0,0,0.0,0.0,0,1
1,0,9.18,20,0.0,0,0.0,0.0,0,1
0,0,9.75,0,0.0,0,0.0,0.0,0,1
1,1,11.93,16,1.56,0,28.3,2.1,0,0
0,0,5.62,0,0.0,0,0.0,0.0,0,1
1,0,6.79,17,0.45,0,0.0,0.0,0,1
0,0,5.1,13,0.0,0,0.0,0.0,0,1
0,0,7.61,13,0.0,0,0.0,0.0,0,1
0,0,11.93,24,0.0,0,27.8,2.1,0,0
0,0,5.28,13,0.0,0,0.0,0.0,0,1
0,0,7.64,39,0.0,0,0.0,0.0,0,1
0,0,6.97,14,0.0,0,0.0,0.0,0,1
1,1,6.92,0,0.0,0,0.0,0.0,0,1
1,1,11.93,20,1.8,1,62.6,5.2,0,0
1,0,11.93,37,0.44,0,26.5,2.2,0,0
1,1,11.93,10,1.21,0,10.1,0.3,0,0
0,0,5.62,0,0.0,0,0.0,0.0,0,1
1,1,11.93,21,0.21,0,48.2,2.9,0,0
0,0,9.21,24,0.0,0,0.0,0.0,0,1
0,0,5.72,0,0.0,0,0.0,0.0,0,1
0,0,5.62,0,0.0,0,0.0,0.0,0,1
0,0,6.12,14,0.0,0,0.0,0.0,0,1
0,0,11.93,56,0.0,6,117.3,15.1,0,0
